match_no,Bowler,team,over,run,wicket,No_ball,ECO
59,Kuldeep Yadav,Delhi Capitals,4.0,32,1,0,8.0
59,Mitchell Marsh,Delhi Capitals,1.0,21,0,0,21.0
59,Mukesh Kumar,Delhi Capitals,1.0,3,1,0,3.0
59,Rishi Dhawan,Punjab Kings,1.0,10,0,0,10.0
59,Sam Curran,Punjab Kings,2.0,18,0,0,9.0
59,Harpreet Brar,Punjab Kings,4.0,30,4,0,7.5
59,Nathan Ellis,Punjab Kings,4.0,26,2,0,6.5
59,Arshdeep Singh,Punjab Kings,4.0,32,0,0,8.0
59,Rahul Chahar,Punjab Kings,4.0,16,2,0,4.0
59,Sikandar Raza,Punjab Kings,1.0,3,0,0,3.0
60,Sandeep Sharma,Rajasthan Royals,4.0,34,1,0,8.5
60,Adam Zampa,Rajasthan Royals,4.0,25,2,0,6.3
60,Yuzvendra Chahal,Rajasthan Royals,4.0,37,0,0,9.3
60,Ravichandran Ashwin,Rajasthan Royals,4.0,33,0,0,8.3
60,KM Asif,Rajasthan Royals,4.0,42,2,0,10.5
60,Mohammed Siraj,Royal Challengers Bangalore,2.0,10,1,0,5.0
60,Wayne Parnell,Royal Challengers Bangalore,3.0,10,3,0,3.3
60,Michael Bracewell,Royal Challengers Bangalore,3.0,16,2,0,5.3
60,Karn Sharma,Royal Challengers Bangalore,1.3,19,2,0,14.6
60,Glenn Maxwell,Royal Challengers Bangalore,1.0,3,1,0,3.0
61,Vaibhav Arora,Kolkata Knight Riders,4.0,30,1,1,7.5
61,Harshit Rana,Kolkata Knight Riders,2.0,19,0,0,9.5
61,Varun Chakaravarthy,Kolkata Knight Riders,4.0,36,2,0,9.0
61,Sunil Narine,Kolkata Knight Riders,4.0,15,2,0,3.8
61,Shardul Thakur,Kolkata Knight Riders,3.0,15,1,0,5.0
61,Suyash Sharma,Kolkata Knight Riders,3.0,29,0,1,9.7
61,Deepak Chahar,Chennai Super Kings,3.0,27,3,0,9.0
61,Tushar Deshpande,Chennai Super Kings,3.3,25,0,0,7.6
61,Moeen Ali,Chennai Super Kings,4.0,31,0,0,7.8
61,Maheesh Theekshana,Chennai Super Kings,3.0,22,0,0,7.3
61,Matheesha Pathirana,Chennai Super Kings,3.0,23,0,1,7.7
61,Ravindra Jadeja,Chennai Super Kings,2.0,18,0,0,9.0
62,Bhuvneshwar Kumar,Sunrisers Hyderabad,4.0,30,5,0,7.5
62,Marco Jansen,Sunrisers Hyderabad,4.0,39,1,2,9.8
62,Fazalhaq Farooqi,Sunrisers Hyderabad,3.0,31,1,0,10.3
62,T Natarajan,Sunrisers Hyderabad,4.0,34,1,0,8.5
62,Aiden Markram,Sunrisers Hyderabad,1.0,13,0,0,13.0
62,Mayank Markande,Sunrisers Hyderabad,3.0,27,0,0,9.0
62,Abhishek Sharma,Sunrisers Hyderabad,1.0,13,0,0,13.0
62,Mohammed Shami,Gujarat Titans,4.0,30,4,0,7.5
62,Yash Dayal,Gujarat Titans,4.0,31,1,0,7.8
62,Rashid Khan,Gujarat Titans,4.0,28,0,0,7.0
62,Mohit Sharma,Gujarat Titans,4.0,28,4,0,7.0
62,Noor Ahmad,Gujarat Titans,2.5,35,0,0,14.0
62,Rahul Tewatia,Gujarat Titans,1.1,7,0,0,6.4
63,Jason Behrendorff,Mumbai Indians,4.0,30,2,0,7.5
63,Chris Jordan,Mumbai Indians,4.0,50,0,0,12.5
63,Hrithik Shokeen,Mumbai Indians,3.0,20,0,0,6.7
63,Piyush Chawla,Mumbai Indians,3.0,26,1,0,8.7
63,Akash Madhwal,Mumbai Indians,4.0,30,0,0,7.5
63,Cameron Green,Mumbai Indians,2.0,16,0,0,8.0
63,Krunal Pandya,Lucknow Super Giants,4.0,27,0,0,6.8
63,Mohsin Khan,Lucknow Super Giants,3.0,26,1,0,8.7
63,Naveen-ul-Haq,Lucknow Super Giants,4.0,37,0,1,9.3
63,Yash Thakur,Lucknow Super Giants,4.0,40,2,1,10.0
63,Swapnil Singh,Lucknow Super Giants,1.0,11,0,0,11.0
63,Ravi Bishnoi,Lucknow Super Giants,4.0,26,2,0,6.5
64,Sam Curran,Punjab Kings,4.0,36,2,0,9.0
64,Kagiso Rabada,Punjab Kings,3.0,36,0,0,12.0
64,Arshdeep Singh,Punjab Kings,2.0,21,0,0,10.5
64,Nathan Ellis,Punjab Kings,4.0,46,0,0,11.5
64,Rahul Chahar,Punjab Kings,4.0,35,0,0,8.8
64,Harpreet Brar,Punjab Kings,3.0,39,0,0,13.0
64,Khaleel Ahmed,Delhi Capitals,3.0,20,1,0,6.7
64,Ishant Sharma,Delhi Capitals,3.0,36,2,0,12.0
64,Anrich Nortje,Delhi Capitals,4.0,36,2,0,9.0
64,Mukesh Kumar,Delhi Capitals,4.0,52,0,0,13.0
64,Axar Patel,Delhi Capitals,3.0,27,1,0,9.0
64,Kuldeep Yadav,Delhi Capitals,3.0,21,0,0,7.0
65,Mohammed Siraj,Royal Challengers Bangalore,4.0,17,1,0,4.3
65,Wayne Parnell,Royal Challengers Bangalore,4.0,35,0,0,8.8
65,Michael Bracewell,Royal Challengers Bangalore,2.0,13,2,0,6.5
65,Shahbaz Ahmed,Royal Challengers Bangalore,3.0,38,1,0,12.7
65,Harshal Patel,Royal Challengers Bangalore,4.0,37,1,0,9.3
65,Karn Sharma,Royal Challengers Bangalore,3.0,45,0,0,15.0
65,Bhuvneshwar Kumar,Sunrisers Hyderabad,4.0,48,1,0,12.0
65,Abhishek Sharma,Sunrisers Hyderabad,3.0,28,0,0,9.3
65,T Natarajan,Sunrisers Hyderabad,4.0,34,1,0,8.5
65,Kartik Tyagi,Sunrisers Hyderabad,1.2,21,0,0,17.5
65,Nitish Reddy,Sunrisers Hyderabad,2.0,19,0,0,9.5
65,Mayank Dagar,Sunrisers Hyderabad,4.0,25,0,0,6.3
65,Glenn Phillips,Sunrisers Hyderabad,1.0,10,0,0,10.0
